name,status,recommended classification,mass,detection method,year fell or found,latitude,longitude
Aachen,Valid,L5,21.0,Fell,1880,50.775,6.08333
Aarhus,Valid,H6,720.0,Fell,1951,56.18333,10.23333
Abee,Valid,EH4,107000.0,Fell,1952,54.21667,-113.0
Acapulco,Valid,Acapulcoite,1914.0,Fell,1976,16.88333,-99.9
Achiras,Valid,L6,780.0,Fell,1902,-33.16667,-64.95
Adhi Kot,Valid,EH4,4239.0,Fell,1919,32.1,71.8
Adzhi-Bogdo (stone),Valid,LL3-6,910.0,Fell,1949,44.83333,95.16667
Agen,Valid,H5,30000.0,Fell,1814,44.21667,0.61667
Aguada,Valid,L6,1620.0,Fell,1930,-31.6,-65.23333
Aguila Blanca,Valid,L,1440.0,Fell,1920,-30.86667,-64.55
Aioun el Atrouss,Valid,Diogenite-pm,1000.0,Fell,1974,16.39806,-9.57028
Aïr,Valid,L6,24000.0,Fell,1925,19.08333,8.38333
Aire-sur-la-Lys,Valid,Unknown,,Fell,1769,50.66667,2.33333
Akaba,Valid,L6,779.0,Fell,1949,29.51667,35.05
Akbarpur,Valid,H4,1800.0,Fell,1838,29.71667,77.95
Akwanga,Valid,H,3000.0,Fell,1959,8.91667,8.43333
Akyumak,Valid,"Iron, IVA",50000.0,Fell,1981,39.91667,42.81667
Al Rais,Valid,CR2-an,160.0,Fell,1957,24.41667,39.51667
Al Zarnkh,Valid,LL5,700.0,Fell,2001,13.66033,28.96
Alais,Valid,CI1,6000.0,Fell,1806,44.11667,4.08333
Albareto,Valid,L/LL4,2000.0,Fell,1766,44.65,11.01667
Alberta,Valid,L,625.0,Fell,1949,2.0,22.66667
Alby sur Chéran,Valid,Eucrite-mmict,252.0,Fell,2002,45.82133,6.01533
Aldsworth,Valid,LL5,700.0,Fell,1835,51.78333,-1.78333
Aleppo,Valid,L6,3200.0,Fell,1873,36.23333,37.13333
Alessandria,Valid,H5,908.0,Fell,1860,44.88333,8.75
Alexandrovsky,Valid,H4,9251.0,Fell,1900,50.95,31.81667
Alfianello,Valid,L6,228000.0,Fell,1883,45.26667,10.15
Allegan,Valid,H5,32000.0,Fell,1899,42.53333,-85.88333
Allende,Valid,CV3,2000000.0,Fell,1969,26.96667,-105.31667
Almahata Sitta,Valid,Ureilite-an,3950.0,Fell,2008,20.74575,32.41275
Alta'ameem,Valid,LL5,6000.0,Fell,1977,35.27333,44.21556
Ambapur Nagla,Valid,H5,6400.0,Fell,1895,27.66667,78.25
Andhara,Valid,Stone-uncl,2700.0,Fell,1880,26.58333,85.56667
Andover,Valid,L6,3200.0,Fell,1898,44.61667,-70.75
Andreevka,Valid,L3,600.0,Fell,1969,48.7,37.5
Andura,Valid,H6,17900.0,Fell,1939,20.88333,76.86667
Northwest Africa 5815,Valid,L5,256.8,Found,,0.0,0.0
Angers,Valid,L6,,Fell,1822,47.46667,-0.55
Angra dos Reis (stone),Valid,Angrite,1500.0,Fell,1869,-22.96667,-44.31667
Ankober,Valid,H4,6500.0,Fell,1942,9.53333,39.71667
Anlong,Valid,H5,2500.0,Fell,1971,25.15,105.18333
Aomori,Valid,L6,320.0,Fell,1984,40.81056,140.78556
Appley Bridge,Valid,LL6,15000.0,Fell,1914,53.58333,-2.71667
Apt,Valid,L6,3200.0,Fell,1803,43.86667,5.38333
Arbol Solo,Valid,H5,810.0,Fell,1954,-33.0,-66.0
Archie,Valid,H6,5070.0,Fell,1932,38.5,-94.3
Arroyo Aguiar,Valid,H5,7450.0,Fell,1950,-31.41667,-60.66667
Asco,Valid,H6,41.0,Fell,1805,42.45,9.03333
Ash Creek,Valid,L6,9500.0,Fell,2009,31.805,-97.01
Ashdon,Valid,L6,1300.0,Fell,1923,52.05,0.3
Assisi,Valid,H5,2000.0,Fell,1886,43.03333,12.55
Atarra,Valid,L4,1280.0,Fell,1920,25.25417,80.625
Atemajac,Valid,L6,94.2,Fell,1896,20.06667,-103.66667
Athens,Valid,LL6,265.0,Fell,1933,34.75,-87.0
Atoka,Valid,L6,1384.2,Fell,1945,34.31667,-96.15
Aubres,Valid,Aubrite,800.0,Fell,1836,44.38333,5.16667
Aumale,Valid,L6,50000.0,Fell,1865,36.16667,3.66667
Aumieres,Valid,L6,2000.0,Fell,1842,44.33333,3.23333
Ausson,Valid,L5,50000.0,Fell,1858,43.08333,0.58333
Avanhandava,Valid,H4,9330.0,Fell,1952,-21.46028,-49.95083
Avce,Valid,"Iron, IIAB",1230.0,Fell,1908,46.0,13.5
Avilez,Valid,H,146.0,Fell,1855,25.0,-103.5
Awere,Valid,L4,134.0,Fell,1968,2.71667,32.83333
Aztec,Valid,L6,2830.0,Fell,1938,36.8,-108.0
Bachmut,Valid,L6,18000.0,Fell,1814,48.6,38.0
Bahjoi,Valid,"Iron, IAB-sLL",10322.0,Fell,1934,28.48333,78.5
Bald Mountain,Valid,L4,3700.0,Fell,1929,35.96667,-82.48333
Baldwyn,Valid,L6,345.0,Fell,1922,34.5,-88.66667
Bali,Valid,CV3,1000.0,Fell,1907,5.38333,16.38333
Ban Rong Du,Valid,"Iron, ungrouped",16700.0,Fell,1993,16.66667,101.18333
Bandong,Valid,LL6,11500.0,Fell,1871,-6.91667,107.6
Bansur,Valid,L6,15000.0,Fell,1892,27.7,76.33333
Banswal,Valid,L5,14.0,Fell,1913,30.4,78.2
Banten,Valid,CM2,629.0,Fell,1933,-6.33333,106.0
Barbotan,Valid,H5,6400.0,Fell,1790,43.95,-0.05
Barcelona (stone),Valid,OC,,Fell,1704,41.36667,2.16667
Barea,Valid,Mesosiderite-A1,3200.0,Fell,1842,42.38333,-2.5
Barnaul,Valid,H5,23.2,Fell,1904,52.73333,84.08333
Barntrup,Valid,LL4,17.0,Fell,1886,52.0,9.1
Baroti,Valid,L6,4500.0,Fell,1910,31.61667,76.8
Barwell,Valid,L5,44000.0,Fell,1965,52.56528,-1.33972
Bassikounou,Valid,H5,29560.0,Fell,2006,15.78333,-5.9
Baszkówka,Valid,L5,15500.0,Fell,1994,52.03333,20.93583
Bath,Valid,H4,21000.0,Fell,1892,45.41667,-98.31667
Bath Furnace,Valid,L6,86000.0,Fell,1902,38.25,-83.75
Battle Mountain,Valid,L6,2900.0,Fell,2012,40.66813,-117.18913
Bawku,Valid,LL5,1557.0,Fell,1989,11.08333,-0.18333
Baxter,Valid,L6,611.0,Fell,1916,36.75,-93.5
Beardsley,Valid,H5,16000.0,Fell,1929,39.8,-101.2
Beaver Creek,Valid,H5,14000.0,Fell,1893,51.16667,-117.33333
Beddgelert,Valid,H5,794.0,Fell,1949,53.01667,-4.1
Bells,Valid,C2-ung,375.0,Fell,1961,33.6,-96.46667
Belville,Valid,OC,,Fell,1937,-32.33333,-64.86667
Benares (a),Valid,LL4,3700.0,Fell,1798,25.36667,82.91667
Benguerir,Valid,LL6,25000.0,Fell,2004,32.25,-8.15
Beni M'hira,Valid,L6,19000.0,Fell,2001,32.86667,10.8
Benld,Valid,H6,1770.5,Fell,1938,39.08333,-89.15
Benoni,Valid,H6,3880.0,Fell,1943,-26.16667,28.41667
Bensour,Valid,LL6,45000.0,Fell,2002,30.0,-7.0
Benton,Valid,LL6,2840.0,Fell,1949,45.95,-67.55
Berduc,Valid,L6,270.0,Fell,2008,-31.91,-58.32833
Béréba,Valid,Eucrite-mmict,18000.0,Fell,1924,11.65,-3.65
Berlanguillas,Valid,L6,1440.0,Fell,1811,41.68333,-3.8
Berthoud,Valid,Eucrite-mmict,960.0,Fell,2004,40.30583,-105.02325
Bethlehem,Valid,H,13.9,Fell,1859,42.53333,-73.83333
Beuste,Valid,L5,2000.0,Fell,1859,43.21667,-0.23333
Beyrout,Valid,LL3.8,1100.0,Fell,1921,33.88333,35.5
Bhagur,Valid,L6,18.0,Fell,1877,20.88333,74.83333
Bhawad,Valid,LL6,678.0,Fell,2002,26.50833,73.11528
Bherai,Valid,L6,100.0,Fell,1893,20.83333,71.46667
Bhola,Valid,LL3-6,1047.0,Fell,1940,22.68333,90.65
Bholghati,Valid,Howardite,2500.0,Fell,1905,22.08333,86.9
Bialystok,Valid,Eucrite-pmict,4000.0,Fell,1827,53.1,23.2
Bielokrynitschie,Valid,H4,1900.0,Fell,1887,50.13333,27.16667
Bilanga,Valid,Diogenite,25000.0,Fell,1999,12.45,-0.08333
Binningup,Valid,H5,488.1,Fell,1984,-33.15639,115.67639
Birni N'konni,Valid,H4,560.0,Fell,1923,13.76667,5.3
Bishopville,Valid,Aubrite,6000.0,Fell,1843,34.16667,-80.28333
Bishunpur,Valid,LL3.15,1039.0,Fell,1895,25.38333,82.6
Bjelaja Zerkov,Valid,H6,1850.0,Fell,1796,49.78333,30.16667
Bjurböle,Valid,L/LL4,330000.0,Fell,1899,60.4,25.8
Black Moshannan Park,Valid,L5,705.0,Fell,1941,40.91667,-78.08333
Blackwell,Valid,L5,2381.0,Fell,1906,36.83333,-97.33333
Blanket,Valid,L6,5100.0,Fell,1909,31.83333,-98.83333
Blansko,Valid,H6,470.0,Fell,1833,49.36667,16.63333
Bloomington,Valid,LL6,67.8,Fell,1938,40.48,-89.00417
Bo Xian,Valid,LL3.9,7500.0,Fell,1977,33.83333,115.83333
Bocas,Valid,L6,56.0,Fell,1804,23.0,-102.0
Bogou,Valid,"Iron, IAB-MG",8800.0,Fell,1962,12.5,0.7
Boguslavka,Valid,"Iron, IIAB",256000.0,Fell,1916,44.55,131.63333
Borgo San Donino,Valid,LL6,1676.0,Fell,1808,44.86667,10.05
Bori,Valid,L6,8600.0,Fell,1894,21.95,78.03333
Boriskino,Valid,CM2,1342.0,Fell,1930,54.23333,52.48333
Borkut,Valid,L5,7000.0,Fell,1852,48.15,24.28333
Borodino,Valid,H5,500.0,Fell,1812,55.46667,35.86667
Botschetschki,Valid,L4,614.0,Fell,1823,51.33333,33.88333
Boumdeid (2003),Valid,L6,190.0,Fell,2003,17.71067,-11.3715
Boumdeid (2011),Valid,L6,3599.0,Fell,2011,17.17493,-11.34133
Bovedy,Valid,L3,5460.0,Fell,1969,54.56667,-6.33333
Bradford Woods,Valid,L,762.0,Fell,1886,40.5,-80.08333
Braunau,Valid,"Iron, IIAB",39000.0,Fell,1847,50.6,16.3
Breitscheid,Valid,H5,1500.0,Fell,1956,50.66694,8.18361
Bremervörde,Valid,H/L3.9,7250.0,Fell,1855,53.4,9.1
Brient,Valid,Eucrite-pmict,219.0,Fell,1933,52.13333,59.31667
Bruderheim,Valid,L6,303000.0,Fell,1960,53.9,-112.88333
Bukhara,Valid,CV3,5300.0,Fell,2001,39.77978,64.60035
Bunburra Rockhole,Valid,Eucrite,324.0,Fell,2007,-31.35,129.19
Bununu,Valid,Howardite,357.0,Fell,1942,10.01667,9.58333
Bur-Gheluai,Valid,H5,120000.0,Fell,1919,5.0,48.0
Burnwell,Valid,H4-an,1504.0,Fell,1990,37.62194,-82.23722
Bursa,Valid,L6,25000.0,Fell,1946,40.2,29.23333
Buschhof,Valid,L6,5000.0,Fell,1863,46.45,25.78333
Bustee,Valid,Aubrite,1500.0,Fell,1852,26.78333,82.83333
Butsura,Valid,H6,29000.0,Fell,1861,27.08333,84.08333
Buzzard Coulee,Valid,H4,41000.0,Fell,2008,52.996,-109.84817
Cabezo de Mayo,Valid,L/LL6,25000.0,Fell,1870,37.98333,-1.16667
Cabin Creek,Valid,"Iron, IIIAB",48500.0,Fell,1886,35.5,-93.5
Cacak,Valid,OC,212.0,Fell,1919,43.83889,20.33333
Cali,Valid,H/L4,478.0,Fell,2007,3.405,-76.51
Calivo,Valid,Stone-uncl,2400.0,Fell,1916,11.75,122.33333
Campos Sales,Valid,L5,23680.0,Fell,1991,-7.03333,-40.16667
Çanakkale,Valid,L6,4000.0,Fell,1964,39.8,26.6
Cañellas,Valid,H4,945.0,Fell,1861,41.25,1.66667
Cangas de Onis,Valid,H5,34000.0,Fell,1866,43.38333,-5.15
Canon City,Valid,H6,1400.0,Fell,1973,38.47028,-105.24139
Cape Girardeau,Valid,H6,2300.0,Fell,1846,37.26667,-89.58333
Capilla del Monte,Valid,H6,750.0,Fell,1934,-30.88333,-64.55
Carancas,Valid,H4-5,342.0,Fell,2007,-16.66444,-69.04389
Caratash,Valid,LL6,8.0,Fell,1902,38.5,27.0
Castalia,Valid,H5,7300.0,Fell,1874,36.08333,-78.06667
Castel Berardenga,Valid,Stone-uncl,,Fell,1791,43.35,11.5
Castine,Valid,L6,94.0,Fell,1848,44.38333,-68.75
Castrovillari,Valid,Stone-uncl,15000.0,Fell,1583,39.8,16.2
Caswell County,Valid,OC,1360.0,Fell,1810,36.5,-79.25
Ceniceros,Valid,L3.7,1025.0,Fell,1988,26.46667,-105.23333
Centerville,Valid,H5,45.6,Fell,1956,43.2,-96.91667
Cereseto,Valid,H5,6460.0,Fell,1840,45.08333,8.3
Chadong,Valid,L6,3700.0,Fell,1998,28.53333,109.31667
Chail,Valid,H6,0.5,Fell,1814,25.36667,81.66667
Chainpur,Valid,LL3.4,8200.0,Fell,1907,25.85,83.48333
Chajari,Valid,L5,18300.0,Fell,1933,-30.78333,-58.05
Chandakapur,Valid,L5,8800.0,Fell,1838,20.26667,76.01667
Chandpur,Valid,L6,1100.0,Fell,1885,27.28333,79.05
Changde,Valid,H5,1810.0,Fell,1977,29.08333,111.75
Chantonnay,Valid,L6,31500.0,Fell,1812,46.68333,1.05
Charlotte,Valid,"Iron, IVA",4300.0,Fell,1835,36.16667,-87.33333
Charsonville,Valid,H6,27000.0,Fell,1810,47.93333,1.56667
Charwallas,Valid,H6,12000.0,Fell,1834,29.48333,75.5
Chassigny,Valid,Martian (chassignite),4000.0,Fell,1815,47.71667,5.36667
Château-Renard,Valid,L6,30000.0,Fell,1841,47.93333,2.91667
Chaves,Valid,Howardite,2945.0,Fell,1925,41.93333,-7.46667
Chela,Valid,H4,2936.0,Fell,1988,-3.66667,32.5
Chelyabinsk,Valid,LL5,100000.0,Fell,2013,54.81667,61.11667
Chergach ,Valid,H5,100000.0,Fell,2007,23.69639,-5.01472
Chernyi Bor,Valid,H4,6000.0,Fell,1964,53.7,30.1
Cherokee Springs,Valid,LL6,8400.0,Fell,1933,35.03333,-81.88333
Chervettaz,Valid,L5,705.0,Fell,1901,46.55,6.81667
Chervony Kut,Valid,Eucrite-mmict,1700.0,Fell,1939,50.83333,34.0
Chetrinahatti,Valid,Stone-uncl,72.0,Fell,1880,14.5,76.5
Chiang Khan,Valid,H6,367.0,Fell,1981,17.9,101.63333
Chicora,Valid,LL6,303.0,Fell,1938,40.93333,-79.73333
Chisenga,Valid,"Iron, IIIAB",3920.0,Fell,1988,-10.05944,33.395
Chitado,Valid,L6,,Fell,1966,-17.35,13.96667
Chitenay,Valid,L6,4000.0,Fell,1978,47.47083,0.97667
Cilimus,Valid,L5,1600.0,Fell,1979,-6.95,108.1
Claxton,Valid,L6,1455.0,Fell,1984,32.1025,-81.87278
Colby (Wisconsin),Valid,L6,104000.0,Fell,1917,44.9,-90.28333
Cold Bokkeveld,Valid,CM2,5200.0,Fell,1838,-33.13333,19.38333
Coleman,Valid,L6,469.0,Fell,1994,43.76111,-84.50778
Collescipoli,Valid,H5,5000.0,Fell,1890,42.53333,12.61667
Conquista,Valid,H4,20350.0,Fell,1965,-19.85,-47.55
Cosina,Valid,H5,1200.0,Fell,1844,21.16667,-100.86667
Cranganore,Valid,L6,1460.0,Fell,1917,10.2,76.26667
Crescent,Valid,CM2,78.4,Fell,1936,35.95,-97.58333
Cronstad,Valid,H5,3650.0,Fell,1877,-27.7,27.3
Cross Roads,Valid,H5,167.0,Fell,1892,35.63333,-78.13333
Crumlin,Valid,L5,4255.0,Fell,1902,54.61667,-6.21667
Cumberland Falls,Valid,Aubrite,17000.0,Fell,1919,36.83333,-84.35
Cynthiana,Valid,L/LL4,6000.0,Fell,1877,38.4,-84.25
Dahmani,Valid,LL6,18000.0,Fell,1981,35.61667,8.83333
Dandapur,Valid,L6,5650.0,Fell,1878,26.91667,83.96667
Daniel's Kuil,Valid,EL6,1064.0,Fell,1868,-28.2,24.56667
Danville,Valid,L6,2000.0,Fell,1868,34.4,-87.06667
Darmstadt,Valid,H5,100.0,Fell,1804,49.86667,8.65
Dashoguz,Valid,H5,7000.0,Fell,1998,41.98444,59.685
Daule,Valid,L5,6580.0,Fell,2008,-1.87089,-79.95756
De Cewsville,Valid,H6,340.0,Fell,1887,43.0,-80.0
Deal,Valid,L6,28.0,Fell,1829,40.25,-74.0
Delhi,Valid,L5,0.8,Fell,1897,28.56667,77.25
Demina,Valid,L6,16400.0,Fell,1911,51.46667,84.76667
Denver,Valid,L6,230.0,Fell,1967,39.7825,-104.93056
Dergaon,Valid,H5,12500.0,Fell,2001,26.68333,93.86667
Desuri,Valid,H6,25400.0,Fell,1962,25.73333,73.61667
Devgaon,Valid,H3.8,12000.0,Fell,2001,19.0,81.0
Devri-Khera,Valid,L6,1140.0,Fell,1994,24.225,76.525
Dhajala,Valid,H3.8,45000.0,Fell,1976,22.37778,71.42722
Dharwar,Valid,OC,1800.0,Fell,1848,14.88333,75.6
Dhurmsala,Valid,LL6,32000.0,Fell,1860,32.23333,76.46667
Didim,Valid,H3-5,3396.0,Fell,2007,37.35172,27.32997
Diep River,Valid,L6,1000.0,Fell,1906,-33.75,18.56667
Distrito Quebracho,Valid,H4,400.0,Fell,1957,-31.88333,-60.46667
Djati-Pengilon,Valid,H6,166000.0,Fell,1884,-7.5,111.5
Djermaia,Valid,H,3950.0,Fell,1961,12.73333,15.05
Djoumine,Valid,H5-6,10000.0,Fell,1999,36.95,9.55
Dokachi,Valid,H5,3840.0,Fell,1903,23.5,90.33333
Dolgovoli,Valid,L6,1600.0,Fell,1864,50.75,25.3
Domanitch,Valid,L5,438.0,Fell,1907,40.0,29.0
Dong Ujimqin Qi,Valid,Mesosiderite,128800.0,Fell,1995,45.5,119.03333
Donga Kohrod,Valid,H6,230.0,Fell,1899,21.86667,82.45
Dongtai,Valid,LL6,5500.0,Fell,1970,32.91667,120.78333
Doroninsk,Valid,H5-7,3891.0,Fell,1805,51.2,112.3
Dosso,Valid,L6,1250.0,Fell,1962,13.05,3.16667
Douar Mghila,Valid,LL6,1161.0,Fell,1932,32.33333,-6.3
Dowa,Valid,Stone-uncl,642.0,Fell,1976,-13.66667,33.91667
Drake Creek,Valid,L6,5000.0,Fell,1827,36.4,-86.5
Dresden (Ontario),Valid,H6,47700.0,Fell,1939,42.52,-82.26
Dubrovnik,Valid,L3-6,1900.0,Fell,1951,42.45833,18.44167
Dunbogan,Valid,L6,30.0,Fell,1999,-31.66667,152.83333
Dundrum,Valid,H5,2270.0,Fell,1865,52.55,-8.03333
Dunhua,Valid,Stone-uncl,,Fell,1976,43.33333,128.25
Durala,Valid,L6,13200.0,Fell,1815,30.3,76.63333
Duruma,Valid,L6,577.0,Fell,1853,-4.0,39.5
Duwun,Valid,L6,2117.0,Fell,1943,33.43333,127.26667
Dwaleni,Valid,H4-6,3230.0,Fell,1970,-27.2,31.31667
Dyalpur,Valid,Ureilite,300.0,Fell,1872,26.25,82.0
Dyarrl Island,Valid,Mesosiderite-A1,188.0,Fell,1933,-3.0,151.0
Eagle,Valid,EL6,10000.0,Fell,1947,40.78167,-96.47167
Ehole,Valid,H5,2400.0,Fell,1961,-17.3,15.83333
Eichstädt,Valid,H5,3000.0,Fell,1785,48.9,11.21667
Ekeby,Valid,H4,3336.0,Fell,1939,56.03333,13.0
Ekh Khera,Valid,H6,840.0,Fell,1916,28.26667,78.78333
El Idrissia,Valid,L6,10000.0,Fell,1989,34.41667,3.25
El Paso de Aguila,Valid,H5,17226.0,Fell,1977,25.37,-97.37
El Tigre,Valid,L6,5000.0,Fell,1993,19.96722,-103.05167
Elbert,Valid,LL6,680.5,Fell,1998,39.24667,-104.58817
Elbogen,Valid,"Iron, IID",107000.0,Fell,1399,50.18333,12.73333
Elenovka,Valid,L5,54640.0,Fell,1951,47.83333,37.66667
Ellemeet,Valid,Diogenite,1470.0,Fell,1925,51.75,4.0
Emmaville,Valid,Eucrite-mmict,127.0,Fell,1900,-29.46667,151.61667
Enshi,Valid,H5,8000.0,Fell,1974,30.3,109.5
Ensisheim,Valid,LL6,127000.0,Fell,1491,47.86667,7.35
Épinal,Valid,H5,277.0,Fell,1822,48.18333,6.46667
Erakot,Valid,CM2,113.0,Fell,1940,19.03333,81.89167
Erevan,Valid,Howardite,107.2,Fell,1911,40.3,44.5
Ergheo,Valid,L5,20000.0,Fell,1889,1.16667,44.16667
Erxleben,Valid,H6,2250.0,Fell,1812,52.21667,11.25
Esnandes,Valid,L6,1500.0,Fell,1837,46.25,-1.1
Essebi,Valid,C2-ung,500.0,Fell,1957,2.88333,30.83333
Estherville,Valid,Mesosiderite-A3/4,320000.0,Fell,1879,43.41667,-94.83333
Farmington,Valid,L5,89400.0,Fell,1890,39.75,-97.03333
Farmville,Valid,H4,56000.0,Fell,1934,35.55,-77.53333
Favars,Valid,H5,1500.0,Fell,1844,44.38333,2.81667
Fayetteville,Valid,H4,2360.0,Fell,1934,36.05,-94.16667
Feid Chair,Valid,H4,380.0,Fell,1875,36.88333,8.45
Felix,Valid,CO3.3,3200.0,Fell,1900,32.53333,-87.16667
Fenghsien-Ku,Valid,H5,82.0,Fell,1924,34.6,116.75
Ferguson,Valid,OC,220.0,Fell,1889,36.1,-81.41667
Fermo,Valid,H3-5,10200.0,Fell,1996,43.18111,13.75333
Fisher,Valid,L6,17600.0,Fell,1894,47.81667,-96.85
Florence,Valid,H3,3640.0,Fell,1922,30.83333,-97.76667
Forest City,Valid,H5,152000.0,Fell,1890,43.25,-93.66667
Forest Vale,Valid,H4,26000.0,Fell,1942,-33.35,146.85833
Forksville,Valid,L6,6067.0,Fell,1924,36.78333,-78.08333
Forsbach,Valid,H6,240.0,Fell,1900,50.95,7.31667
Forsyth,Valid,L6,16300.0,Fell,1829,33.01667,-83.96667
Fort Flatters,Valid,Stone-uncl,,Fell,1944,28.25,7.0
Frankfort (stone),Valid,Howardite,650.0,Fell,1868,34.48333,-87.83333
Fuhe,Valid,L5,23000.0,Fell,1945,31.47556,113.56694
Fukutomi,Valid,L5,11620.0,Fell,1882,33.18333,130.2
Fünen,Valid,Stone-uncl,,Fell,1654,55.33333,10.33333
Futtehpur,Valid,L6,4000.0,Fell,1822,25.95,80.81667
Fuyang,Valid,Stone-uncl,2500.0,Fell,1977,32.9,115.9
Galapian,Valid,H6,132.7,Fell,1826,44.3,0.4
Galim (a),Valid,LL6,36.1,Fell,1952,7.05,12.43333
Galim (b),Valid,EH3/4-an,28.0,Fell,1952,7.05,12.43333
Galkiv,Valid,H4,5000.0,Fell,1995,51.68333,30.78333
Gambat,Valid,L6,6400.0,Fell,1897,27.35,68.53333
Gao-Guenie,Valid,H5,,Fell,1960,11.65,-2.18333
Garhi Yasin,Valid,"Iron, IIE",380.0,Fell,1917,27.88333,68.53333
Garland,Valid,Diogenite-pm,102.0,Fell,1950,41.68333,-112.13333
Gashua,Valid,L6,4162.0,Fell,1984,12.85,11.03333
Gasseltepaoua,Valid,H5,,Fell,2000,14.15083,-2.04167
Geidam,Valid,H5,725.0,Fell,1950,12.91667,11.91667
Gifu,Valid,L6,14290.0,Fell,1909,35.53333,136.88333
Girgenti,Valid,L6,18000.0,Fell,1853,37.31667,13.56667
Git-Git,Valid,L6,480.0,Fell,1947,9.6,9.91667
Glanerbrug,Valid,L/LL5,670.0,Fell,1990,52.2,6.86667
Glanggang,Valid,H5-6,1303.0,Fell,1939,-7.25,107.7
Glasatovo,Valid,H4,152000.0,Fell,1918,57.35,37.61667
Glatton,Valid,L6,767.0,Fell,1991,52.45972,-0.3
Gnadenfrei,Valid,H5,1750.0,Fell,1879,50.66667,16.76667
Gopalpur,Valid,H6,1600.0,Fell,1865,24.23333,89.05
Gorlovka,Valid,H3.7,3618.0,Fell,1974,48.28333,38.08333
Granes,Valid,L6,9000.0,Fell,1964,42.9,2.25
Grefsheim,Valid,L5,45.5,Fell,1976,60.66667,11.0
Grimsby,Valid,H5,215.0,Fell,2009,43.2,-79.61667
Grosnaja,Valid,CV3,3500.0,Fell,1861,43.66667,45.38333
Gross-Divina,Valid,H5,10500.0,Fell,1837,49.26667,18.71667
Grossliebenthal,Valid,L6,8000.0,Fell,1881,46.35,30.58333
Grüneberg,Valid,H4,1000.0,Fell,1841,51.93333,15.5
Grzempach,Valid,H5,690.0,Fell,1910,52.86667,16.63333
Gualeguaychú,Valid,H6,22000.0,Fell,1932,-33.0,-58.61667
Guangmingshan,Valid,H5,2910.0,Fell,1996,39.80417,122.76389
Guangnan,Valid,L6,,Fell,1983,24.1,105.0
Guangrao,Valid,L6,1900.0,Fell,1980,37.1,118.4
Guareña,Valid,H6,39000.0,Fell,1892,38.73333,-6.01667
Guêa,Valid,Stone-uncl,1915.0,Fell,1891,43.76667,20.23333
Guibga,Valid,L5,288.0,Fell,1972,13.5,-0.68333
Guidder,Valid,LL5,968.0,Fell,1949,9.91667,13.98333
Gujargaon,Valid,H5,2449.0,Fell,1982,22.98333,76.05
Gujba,Valid,CBa,100000.0,Fell,1984,11.49167,11.65833
Gumoschnik,Valid,H5,5700.0,Fell,1904,42.9,24.7
Gurram Konda,Valid,L6,28.0,Fell,1814,13.78333,78.56667
Gursum,Valid,H4/5,34650.0,Fell,1981,9.36667,42.41667
Gütersloh,Valid,H3/4,1000.0,Fell,1851,51.91667,8.38333
Gyokukei,Valid,OC,1320.0,Fell,1930,35.0,127.5
Hachi-oji,Valid,H?,0.2,Fell,1817,35.65,139.33333
Hainaut,Valid,H3-6,9000.0,Fell,1934,50.31667,3.73333
Hallingeberg,Valid,L3.4,1456.0,Fell,1944,57.81667,16.23333
Hamlet,Valid,LL4,3710.0,Fell,1959,41.38333,-86.6
Haraiya,Valid,Eucrite-mmict,1000.0,Fell,1878,26.8,82.53333
Haripura,Valid,CM2,315.0,Fell,1921,28.38333,75.78333
Harleton,Valid,L6,8360.0,Fell,1961,32.675,-94.51167
Harrison County,Valid,L6,680.0,Fell,1859,38.25,-86.16667
Hashima,Valid,H4,1110.6,Fell,1910,35.2945,136.70033
Hassi-Jekna,Valid,"Iron, IAB-sHL",1250.0,Fell,1890,28.95,0.81667
Hatford,Valid,Stone-uncl,29000.0,Fell,1628,51.65,-1.51667
Haverö,Valid,Ureilite,1544.0,Fell,1971,60.24556,22.06194
Hedeskoga,Valid,H5,3500.0,Fell,1922,55.46667,13.78333
Hedjaz,Valid,L3.7-6,6100.0,Fell,1910,27.33333,35.66667
Heredia,Valid,H5,1000.0,Fell,1857,10.0,-84.1
Hessle,Valid,H5,20000.0,Fell,1869,59.85,17.66667
Higashi-koen,Valid,H5,750.0,Fell,1897,33.6,130.43333
High Possil,Valid,L6,4500.0,Fell,1804,55.9,-4.23333
Hiroshima,Valid,H5,414.0,Fell,2003,34.45,132.38333
Hoima,Valid,H6,167.7,Fell,2003,1.345,31.47278
Hökmark,Valid,L4,305.5,Fell,1954,64.43333,21.2
Holbrook,Valid,L/LL6,220000.0,Fell,1912,34.9,-110.18333
Holetta,Valid,Stone-uncl,1415.0,Fell,1923,9.06667,38.41667
Homestead,Valid,L5,230000.0,Fell,1875,41.8,-91.86667
Honolulu,Valid,L5,2420.0,Fell,1825,21.3,-157.86667
Hotse,Valid,L6,180.0,Fell,1956,35.66667,115.5
Hoxie,Valid,OC,266.1,Fell,1963,39.35,-100.45
Hraschina,Valid,"Iron, IID",49000.0,Fell,1751,46.1,16.33333
Huaxi,Valid,H5,1600.0,Fell,2010,26.46469,106.63241
Hungen,Valid,H6,112.0,Fell,1877,50.3,8.91667
Hvittis,Valid,EL6,14000.0,Fell,1901,61.18333,22.68333
Ibbenbüren,Valid,Diogenite,2000.0,Fell,1870,52.28333,7.7
